id,token,class,freq,standalone_count,top_pos,name_frac,cap_frac,pos_NOUN,pos_VERB,pos_ADJ,pos_ADV,pos_PROPN,pos_PRON,pos_DET,pos_ADP,pos_AUX,pos_PART,pos_CCONJ,pos_SCONJ,pos_NUM,pos_INTJ,pos_other,example_words
342,old,word,9397,9382,ADJ,0.001,0.001,0.001,0.0,0.997,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oldest
346,small,word,9043,9040,ADJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smallness
289,bright,word,8679,8446,ADJ,0.005,0.006,0.005,0.016,0.965,0.001,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brightening brighten brightness
417,big,word,6771,6761,ADJ,0.0,0.0,0.0,0.0,0.995,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bigfoot
470,more,word,6295,6288,ADJ,0.0,0.0,0.0,0.0,0.603,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
456,new,word,6145,6052,ADJ,0.01,0.01,0.013,0.0,0.976,0.001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,news newest newcomer
421,dark,word,5603,5544,ADJ,0.005,0.005,0.13,0.01,0.84,0.001,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,darkening darken darkly
559,strange,word,5024,4994,ADJ,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strangely strangest
451,deep,word,4970,4813,ADJ,0.002,0.003,0.002,0.017,0.747,0.231,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepened deepest deepen
353,other,word,4850,4843,ADJ,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otherworldly otherwise
614,brave,word,4432,4386,ADJ,0.007,0.007,0.006,0.002,0.983,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bravest braved braveheart
599,happy,word,4404,4381,ADJ,0.006,0.007,0.0,0.0,0.985,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happyville happybot happyland
598,full,word,4279,4227,ADJ,0.0,0.0,0.0,0.0,0.989,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fully fuller
611,little,word,4156,4156,ADJ,0.0,0.001,0.0,0.0,0.968,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
